Date,close,high,low,open,volume,SMA_20,EMA_20,EMA_50,RSI_14,ROC_10,MACD,MACD_SIG,ATR_14,OBV,ADX_14,CCI_20
2021-01-19,353.4608154296875,354.0022476674901,351.68721605615525,353.1714400392003,51233300,,,,,,,,,,,
2021-01-20,358.3522644042969,359.19238745633976,355.36512856654605,355.7571726966947,61836100,,,,100.0,,,,,61836100.0,,
2021-01-21,358.678955078125,359.3417438187751,357.75482257805237,358.9123241730878,47840100,,,,100.0,,,,,109676200.0,,
2021-01-22,357.40936279296875,358.57620801286464,356.4385395935344,356.8212682441521,52860500,,,,97.90564492175673,,,,,56815700.0,,
2021-01-25,358.8189697265625,359.1736667921993,353.2834336002094,358.1468656490129,70402000,,,,97.95681044385802,,,,,127217700.0,,
2021-01-26,358.2588806152344,360.1818395328205,358.02551153797936,359.77110767785683,42665300,,,,96.9433913324744,,,,,84552400.0,,
2021-01-27,349.50286865234375,355.01971706304266,347.2625312057877,354.9263637345536,123351100,,,,82.56291216155262,,,,,-38798700.0,,
2021-01-28,352.5086364746094,356.5225729048654,350.8843969357279,351.3231034198512,94198100,,,,83.46943077451098,,,,,55399400.0,,
2021-01-29,345.4516296386719,351.6125797804302,343.77135497049784,350.641756315759,126765100,,,,73.77224805661218,,,,,-71365700.0,,
2021-02-01,351.20184326171875,352.237988412501,345.74100051485544,348.8588083348095,75817600,,,,76.1986758428344,,,,,4451900.0,,
2021-02-02,356.1678466796875,357.72676452928016,351.2857841942282,354.3942475276346,64450700,,,,78.08435690922467,0.7658645971008626,,,,68902600.0,,
2021-02-03,356.4479675292969,358.17490455947774,355.1691094246982,356.9987151844739,52427100,,,,78.18932548920507,-0.5314036115177304,,,,121329700.0,,
2021-02-04,360.49920654296875,360.5458689619546,356.55993550525034,357.48406790567833,47142600,,,,79.70342680566768,0.5074876680309486,,,,168472300.0,,
2021-02-05,361.91802978515625,362.62748077443865,360.45249388154105,362.375452469661,48669800,,,,80.22128287532853,1.261485417436915,,,4.947414301281201,217142100.0,50.2601911270926,
2021-02-08,364.5318603515625,364.57852277431755,362.5155480071299,363.3743303003986,38365200,,,,81.17423859978454,1.5921372912233431,,,4.784062778986923,255507300.0,50.391984771319066,
2021-02-09,364.28912353515625,364.88656203696013,363.2809816726569,363.69168503335237,35551100,,,,80.78497115798939,1.6832082179138725,,,4.557028320795232,219956200.0,50.535806881218164,
2021-02-10,364.1304626464844,366.18412212748876,361.7221060618875,366.03476248455763,59154400,,,,80.51319220736987,4.185257205625667,,,4.550241731138522,160801800.0,50.30978274551955,
2021-02-11,364.7185363769531,365.63335345454,362.28217677979495,365.213277702474,42913300,,,,80.77140595119127,3.463716527473848,,,4.464594227110416,203715100.0,50.099903190942264,
2021-02-12,366.5202331542969,366.7629176771536,363.8411316221849,363.9158256964812,50593300,,,,81.57685314433009,6.098857758367471,,,4.354393643386008,254308400.0,50.00654309009067,
2021-02-16,366.2027282714844,367.94835282080294,365.48396180113076,367.7523022937143,50972400,358.45351104736324,358.4535110473633,,80.93346792171658,4.271300193201672,,,4.219393455977878,203336000.0,50.02819153187846,-4981.766150930131
