Date,price,signal,position,returns
2021-01-19,353.4608154296875,False,0.0,0.0
2021-01-20,358.3522644042969,False,0.0,0.0
2021-01-21,358.678955078125,False,0.0,0.0
2021-01-22,357.40936279296875,False,0.0,-0.0
2021-01-25,358.8189697265625,False,0.0,0.0
2021-01-26,358.2588806152344,False,0.0,-0.0
2021-01-27,349.50286865234375,False,0.0,-0.0
2021-01-28,352.5086364746094,False,0.0,0.0
2021-01-29,345.4516296386719,False,0.0,-0.0
2021-02-01,351.20184326171875,False,0.0,0.0
2021-02-02,356.1678466796875,False,0.0,0.0
2021-02-03,356.4479675292969,False,0.0,0.0
2021-02-04,360.49920654296875,False,0.0,0.0
2021-02-05,361.91802978515625,False,0.0,0.0
2021-02-08,364.5318603515625,False,0.0,0.0
2021-02-09,364.28912353515625,False,0.0,-0.0
2021-02-10,364.1304626464844,False,0.0,-0.0
2021-02-11,364.7185363769531,False,0.0,0.0
2021-02-12,366.5202331542969,False,0.0,0.0
2021-02-16,366.2027282714844,False,0.0,-0.0
2021-02-17,366.2867431640625,False,0.0,0.0
2021-02-18,364.72784423828125,False,0.0,-0.0
2021-02-19,364.083740234375,False,0.0,-0.0
2021-02-22,361.2833557128906,False,0.0,-0.0
2021-02-23,361.72210693359375,False,0.0,0.0
2021-02-24,365.70794677734375,False,0.0,0.0
2021-02-25,356.8959655761719,False,0.0,-0.0
2021-02-26,355.05706787109375,False,0.0,-0.0
2021-03-01,363.6636962890625,False,0.0,0.0
2021-03-02,360.8259582519531,False,0.0,-0.0
2021-03-03,356.0465393066406,False,0.0,-0.0
2021-03-04,351.6405029296875,False,0.0,-0.0
2021-03-05,358.1095275878906,False,0.0,0.0
2021-03-08,356.3266296386719,False,0.0,-0.0
2021-03-09,361.4140319824219,True,0.0,0.0
2021-03-10,363.6636962890625,True,1.0,0.00622461804900265
2021-03-11,367.3509216308594,True,1.0,0.010139107585999119
2021-03-12,367.845703125,True,1.0,0.001346890575213644
2021-03-15,370.039306640625,True,1.0,0.005963379474027919
2021-03-16,369.5725402832031,True,1.0,-0.0012613966923119557
2021-03-17,370.83282470703125,True,1.0,0.0034101138111137796
2021-03-18,365.4373474121094,True,1.0,-0.014549621650091105
2021-03-19,364.7611389160156,True,1.0,-0.0018504088344620806
2021-03-22,367.6737060546875,True,1.0,0.00798486140088106
2021-03-23,364.7798767089844,True,1.0,-0.007870645352248018
2021-03-24,362.92547607421875,False,1.0,-0.005083615498464145
2021-03-25,364.9671936035156,False,0.0,0.0
2021-03-26,370.8486328125,True,0.0,0.0
2021-03-29,370.6612854003906,True,1.0,-0.0005051856621084427
2021-03-30,369.6779479980469,True,1.0,-0.0026529271900666007
2021-03-31,371.1764221191406,False,1.0,0.004053458230896867
2021-04-01,375.1847229003906,True,0.0,0.0
2021-04-05,380.5698547363281,True,1.0,0.014353281216536118
2021-04-06,380.3450927734375,True,1.0,-0.0005905931857013158
2021-04-07,380.78521728515625,True,1.0,0.001157171526808387
2021-04-08,382.5926818847656,True,1.0,0.0047466774379947285
2021-04-09,385.3742980957031,True,1.0,0.007270437576679223
2021-04-12,385.51470947265625,True,1.0,0.00036435065246176457
2021-04-13,386.6573486328125,True,1.0,0.002963931419683652
2021-04-14,385.33685302734375,True,1.0,-0.003415157141427483
2021-04-15,389.4762878417969,True,1.0,0.010742379769628219
2021-04-16,390.7780456542969,True,1.0,0.0033423287967373483
2021-04-19,388.8580627441406,True,1.0,-0.004913231261345685
2021-04-20,386.0110778808594,True,1.0,-0.0073213985668454384
2021-04-21,389.6635437011719,True,1.0,0.00946207513101438
2021-04-22,386.1047058105469,True,1.0,-0.009133104567139672
2021-04-23,390.2910461425781,False,1.0,0.010842500153534607
2021-04-26,391.1058349609375,False,0.0,0.0
2021-04-27,391.0216064453125,False,0.0,-0.0
2021-04-28,390.9091491699219,False,0.0,-0.0
2021-04-29,393.4002990722656,False,0.0,0.0
2021-04-30,390.8155212402344,False,0.0,-0.0
2021-05-03,391.65838623046875,False,0.0,0.0
2021-05-04,389.2421569824219,False,0.0,-0.0
2021-05-05,389.3638916015625,False,0.0,0.0
2021-05-06,392.47314453125,False,0.0,0.0
2021-05-07,395.3294982910156,False,0.0,0.0
2021-05-10,391.41485595703125,False,0.0,-0.0
2021-05-11,387.9216003417969,False,0.0,-0.0
2021-05-12,379.6802062988281,False,0.0,-0.0
2021-05-13,384.2410888671875,False,0.0,0.0
2021-05-14,390.1412353515625,False,0.0,0.0
2021-05-17,389.1484069824219,False,0.0,-0.0
2021-05-18,385.79571533203125,False,0.0,-0.0
2021-05-19,384.78411865234375,False,0.0,-0.0
2021-05-20,388.92364501953125,False,0.0,0.0
2021-05-21,388.6052551269531,False,0.0,-0.0
2021-05-24,392.56683349609375,False,0.0,0.0
2021-05-25,391.6958312988281,True,0.0,-0.0
2021-05-26,392.47314453125,True,1.0,0.001984481759339518
2021-05-27,392.67919921875,True,1.0,0.0005250160179650631
2021-05-28,393.3816223144531,True,1.0,0.0017887962924967304
2021-06-01,393.0351257324219,True,1.0,-0.000880815377171551
2021-06-02,393.6532897949219,True,1.0,0.0015727959717291018
2021-06-03,392.1921691894531,True,1.0,-0.0037116941312237417
2021-06-04,395.7791442871094,True,1.0,0.009145963074860708
2021-06-07,395.3951416015625,True,1.0,-0.0009702448729039803
2021-06-08,395.4794921875,True,1.0,0.0002133323783286567
2021-06-09,394.88946533203125,True,1.0,-0.00149192781705354
2021-06-10,396.72503662109375,True,1.0,0.004648316681527875
2021-06-11,397.3805847167969,True,1.0,0.0016523991056536236
2021-06-14,398.2702941894531,True,1.0,0.0022389354358878233
2021-06-15,397.5398254394531,True,1.0,-0.0018341030216341148
2021-06-16,395.32012939453125,False,1.0,-0.005583581575677732
2021-06-17,395.18914794921875,False,0.0,-0.0
2021-06-18,389.85784912109375,False,0.0,-0.0
2021-06-21,395.4390563964844,False,0.0,0.0
2021-06-22,397.55316162109375,False,0.0,0.0
2021-06-23,397.07391357421875,False,0.0,-0.0
2021-06-24,399.4229736328125,False,0.0,0.0
2021-06-25,400.84173583984375,False,0.0,0.0
2021-06-28,401.6497802734375,False,0.0,0.0
2021-06-29,401.865966796875,False,0.0,0.0
2021-06-30,402.2041015625,True,0.0,0.0
2021-07-01,404.4309997558594,True,1.0,0.005536736658597441
2021-07-02,407.5223083496094,True,1.0,0.0076435995154082725
2021-07-06,406.7799987792969,True,1.0,-0.0018215188594673526
2021-07-07,408.2175598144531,True,1.0,0.0035340012770299634
2021-07-08,404.89141845703125,True,1.0,-0.008147962471123704
2021-07-09,409.2135925292969,True,1.0,0.010674896713634086
2021-07-12,410.6793518066406,True,1.0,0.0035818929383162335
2021-07-13,409.2792663574219,True,1.0,-0.0034091936764280018
2021-07-14,409.8900451660156,True,1.0,0.0014923277546641245
2021-07-15,408.49005126953125,True,1.0,-0.0034155352465741196
2021-07-16,405.2860107421875,True,1.0,-0.007843619489351195
2021-07-19,399.30084228515625,False,1.0,-0.014767764735009736
2021-07-20,405.0229797363281,False,0.0,0.0
2021-07-21,408.30218505859375,False,0.0,0.0
2021-07-22,409.1572265625,False,0.0,0.0
2021-07-23,413.36663818359375,True,0.0,0.0
2021-07-26,414.3813171386719,True,1.0,0.002454670651547586
2021-07-27,412.4927978515625,True,1.0,-0.0045574431302783935
2021-07-28,412.3235778808594,False,1.0,-0.00041023739465151365
2021-07-29,414.0337219238281,False,0.0,0.0
2021-07-30,412.0229187011719,False,0.0,-0.0
2021-08-02,411.1585693359375,False,0.0,-0.0
2021-08-03,414.5035095214844,False,0.0,0.0
2021-08-04,412.464599609375,False,0.0,-0.0
2021-08-05,415.07666015625,False,0.0,0.0
2021-08-06,415.76251220703125,False,0.0,0.0
2021-08-09,415.4242858886719,False,0.0,-0.0
2021-08-10,415.9411315917969,False,0.0,0.0
2021-08-11,416.974609375,False,0.0,0.0
2021-08-12,418.22430419921875,False,0.0,0.0
2021-08-13,418.9854431152344,True,0.0,0.0
2021-08-16,419.97198486328125,True,1.0,0.002354596715131052
2021-08-17,417.2189636230469,False,1.0,-0.00655524972964705
2021-08-18,412.6524353027344,False,0.0,-0.0
2021-08-19,413.2914733886719,False,0.0,0.0
2021-08-20,416.58001708984375,False,0.0,0.0
2021-08-23,420.2444763183594,False,0.0,0.0
2021-08-24,420.91156005859375,False,0.0,0.0
2021-08-25,421.7947692871094,False,0.0,0.0
2021-08-26,419.3049011230469,False,0.0,-0.0
2021-08-27,423.0538635253906,False,0.0,0.0
2021-08-30,424.9141845703125,True,0.0,0.0
2021-08-31,424.2846984863281,True,1.0,-0.001481442857976023
2021-09-01,424.5101623535156,True,1.0,0.0005313975922107694
2021-09-02,425.8162841796875,True,1.0,0.003076773990357884
2021-09-03,425.712890625,True,1.0,-0.0002428125896750677
2021-09-07,424.1907958984375,True,1.0,-0.003575402014084794
2021-09-08,423.6739501953125,True,1.0,-0.0012184274343584045
2021-09-09,421.8605651855469,False,1.0,-0.004280142805404119
2021-09-10,418.534423828125,False,0.0,-0.0
2021-09-13,419.60540771484375,False,0.0,0.0
2021-09-14,417.34112548828125,False,0.0,-0.0
2021-09-15,420.82696533203125,False,0.0,0.0
2021-09-16,420.159912109375,False,0.0,-0.0
2021-09-17,416.067138671875,False,0.0,-0.0
2021-09-20,409.1294860839844,False,0.0,-0.0
2021-09-21,408.7430419921875,False,0.0,-0.0
2021-09-22,412.730224609375,False,0.0,0.0
2021-09-23,417.74493408203125,False,0.0,0.0
2021-09-24,418.4330139160156,True,0.0,0.0
2021-09-27,417.2359313964844,True,1.0,-0.002860870150584005
2021-09-28,408.8279113769531,True,1.0,-0.020151716059999214
2021-09-29,409.5159606933594,False,1.0,0.001682980288916447
2021-09-30,404.5107421875,False,0.0,-0.0
2021-10-01,409.3179931640625,True,0.0,0.0
2021-10-04,404.03936767578125,True,1.0,-0.012896148169488031
2021-10-05,408.2434387207031,True,1.0,0.010405102525294918
2021-10-06,409.9401550292969,True,1.0,0.004156138587090741
2021-10-07,413.48431396484375,True,1.0,0.008645552020376313
2021-10-08,412.730224609375,True,1.0,-0.0018237435617276532
2021-10-11,409.74212646484375,True,1.0,-0.007239833591928702
2021-10-12,408.73358154296875,True,1.0,-0.002461413793540035
2021-10-13,410.2040710449219,True,1.0,0.003597672342952718
2021-10-14,417.1039733886719,True,1.0,0.016820657889069057
2021-10-15,420.280517578125,True,1.0,0.007615713088623854
2021-10-18,421.5247497558594,True,1.0,0.00296048026423934
2021-10-19,424.77685546875,True,1.0,0.007715100275308195
2021-10-20,426.4450988769531,True,1.0,0.003927340641858068
2021-10-21,427.5574951171875,True,1.0,0.0026085332981053977
2021-10-22,427.1144104003906,True,1.0,-0.0010363161021781364
2021-10-25,429.4049987792969,True,1.0,0.0053629386485907204
2021-10-26,429.7914123535156,True,1.0,0.0008998814064047345
2021-10-27,427.88739013671875,True,1.0,-0.004430107633771829
2021-10-28,432.0159912109375,True,1.0,0.009648802861190964
2021-10-29,432.8926086425781,True,1.0,0.002029131905935788
2021-11-01,433.6373291015625,True,1.0,0.0017203353536563437
